timestamp_utc,vertical,doc_id,offset,cohesion,tp,fp,fn,tn,na,recall,precision,f1,passes_gates
2026-06-22T16:17:21.8370644+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:17:22.1782529+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:17:22.4570156+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:17:23.0267654+00:00,privacy-gdpr,novacrm-compliant,0.00,0,4,0,2,0,0,0.667,1.000,0.800,0
2026-06-22T16:17:23.2810517+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
2026-06-22T16:17:23.7457242+00:00,privacy-law25,novacrm-compliant,0.00,0,1,0,4,1,0,0.200,1.000,0.333,0
2026-06-22T16:17:24.1623394+00:00,privacy-law25,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:17:24.5505847+00:00,privacy-gdpr,dataflow-gaps,0.00,0,0,0,0,6,0,1.000,1.000,1.000,1
2026-06-22T16:17:25.0954179+00:00,healthcare,acme-telehealth-gaps,0.00,0,0,0,0,8,0,1.000,1.000,1.000,1
2026-06-22T16:17:25.5774330+00:00,fsi,doc-001-vendor-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:17:25.9412183+00:00,permitting,doc-002-warehouse-clean,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:17:26.3738319+00:00,contract,doc-002-clean-msa,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:17:26.6677610+00:00,gov-architecture,doc-002-iaas-partial-compliance,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:17:26.9206415+00:00,gov-architecture,doc-001-protb-saas-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:17:27.3376390+00:00,permitting,doc-001-condo-permit-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:17:27.6984954+00:00,contract,doc-001-msa-with-gaps,0.00,0,0,0,0,5,0,1.000,1.000,1.000,1
2026-06-22T16:22:34.0988058+00:00,healthcare,summitcare-compliant,0.00,0,8,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:22:34.7097869+00:00,fsi,doc-002-tpra-cloud,0.00,0,3,0,0,2,0,1.000,1.000,1.000,1
2026-06-22T16:22:35.0521251+00:00,gov-architecture,doc-003-fully-compliant,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:22:35.3858970+00:00,oil-gas,doc-002-clean-pipeline-program,0.00,0,5,0,0,0,0,1.000,1.000,1.000,1
2026-06-22T16:22:36.0632797+00:00,privacy-gdpr,novacrm-compliant,0.00,0,5,0,1,0,0,0.833,1.000,0.909,0
2026-06-22T16:22:36.4462703+00:00,oil-gas,doc-001-pipeline-ops-manual-with-gaps,0.00,0,1,0,0,3,1,1.000,1.000,1.000,1
